source_result_sha256	archive_size_bytes	drive_file_id	observed_resolution_kind
1cebcf8784c6d2e8c8549eadd63007d9f99bb3e90e35ce0786a5d89f6cbecca0	1245868	1r34Bp8sWQfut9Ypj_mj4mi_DQFWjn775	exact-v150-verified-cache
1d144d407e856a122135ab5ecbc8caebf8196037087fb15821c591a69a850073	6934	1t8tH6GqfGFe2kOVE5_nwLiUhoUp5E1iy	local-override
3df4f72452b6fb36525ea651f58a0d9d0e551d6ab1f0076653588e767fb1ad9a	1461607	1-slSGw5H4_Qn-lL9z8aBeqOBlybW7vBB	exact-v150-verified-cache
461b24dac879ca71252c209f0013ff17cb8f8ed1a889a32f0376b87372f3d3a4	2741364	-	exact-v150-verified-cache
462b613a0d6a2c2e2eefdff6742fd16014311f87606916ab0982220998612f6c	628448	-	exact-v150-verified-cache
4e546ac1ef2a92f3301dd51ca2328d6901a05e309da78b6d08b26211d9b621e3	1027779	-	exact-v150-verified-cache
a18426371acf0339731464eea4a6fd1f8c745cc09154629b69e34d1063073c13	648688	1RZw3iAUiJLRTeVk5XyzJV6FDu4rBKT7-	exact-v150-verified-cache
b0ae73019a2b442d96daa148219cfcf21f265b8dec48d82aef74dd95d536f29f	166830	-	exact-v150-verified-cache
ba0fa0e31cfea2a31f8065ecaccf998a49901c12aa5f62af978728ddd8f10b3a	37733916	1ST696OLuGiBt_lLvJbXOt6EIT0X17Fy9	exact-v150-verified-cache
